battery,t_bucket,arr,bp,fever,action,q
10,0,0,0,0,5,38.80707811697081
9,1,0,0,1,6,41.55771435518842
9,2,0,1,1,1,60.90600287234188
9,3,0,1,0,6,44.33533521840567
9,4,1,0,0,5,43.857107533181974
9,5,0,0,0,4,26.3972510944449
9,6,0,0,0,2,30.856040523186678
9,7,0,1,0,3,43.73753010471853
9,8,0,0,1,5,45.720681520867416
9,9,1,0,0,0,44.59079447314846
9,10,1,0,0,7,40.475907332590765
9,11,1,0,0,2,39.850842336067736
9,12,1,1,0,6,54.8651555051667
9,13,0,0,0,2,37.379571943791625
9,14,0,0,0,4,26.670976958297224
9,15,1,0,0,3,45.91357607685623
9,16,1,1,0,4,54.8540678656284
9,17,0,1,0,6,43.92141866717788
9,18,0,0,0,5,25.492440517098604
9,19,1,0,0,4,38.72356486335779
9,20,0,0,0,0,33.68785383868842
9,21,0,0,0,5,23.548634391045027
9,22,0,0,0,2,27.642470976977517
9,23,0,1,0,5,42.203380641394155
9,24,0,1,0,5,41.24311164306398
9,25,0,1,1,5,55.63994089824951
9,26,1,1,0,0,55.580968541676
9,27,1,1,0,3,54.64092466025068
9,28,1,1,0,3,55.47997640930108
9,29,1,0,0,0,40.395968795298124
9,30,1,0,0,5,39.17421867859923
9,31,1,0,1,2,56.33226311972704
9,32,1,1,1,4,71.24984003400304
9,33,1,1,1,2,70.7997573763513
9,34,1,1,1,7,69.51135754531852
9,35,0,0,1,3,45.483855019855646
9,36,0,1,0,5,41.32927456346228
9,37,0,1,0,5,41.88889789222996
9,38,1,1,1,1,71.0711217365209
9,39,1,1,0,5,53.0499524409437
9,40,0,1,1,2,64.418088812023
9,41,0,0,1,6,43.478085254408185
9,42,1,0,1,5,54.91275816007248
9,43,0,0,0,4,27.4766752752225
9,44,1,0,0,6,37.660011547177966
9,45,0,1,0,2,46.168823830170595
9,46,0,0,0,7,29.362893633046838
9,47,0,1,0,1,48.932803771504396
9,48,0,1,0,7,43.08613987791218
9,49,1,0,1,7,54.760149663497884
9,50,0,0,0,2,26.328982590322408
9,51,0,0,0,6,26.253713307741858
9,52,1,0,0,6,37.61457251922947
9,53,0,0,0,2,35.08037787790677
9,54,0,1,0,2,43.063561742450744
9,55,0,0,0,2,27.85281349575487
9,56,0,0,0,4,25.37829961843037
9,57,1,0,0,5,39.33184136881664
9,58,1,0,0,1,39.002688677776256
9,59,1,0,0,3,39.22326011550854
9,0,1,0,0,1,40.213846368062505
9,1,1,0,0,1,41.83551581429022
9,2,1,0,0,2,38.667095168174725
9,3,1,0,0,1,39.30459162187599
9,4,1,0,1,4,55.69293365503348
9,5,0,0,1,0,46.176498968712
9,6,0,0,1,0,45.410899615278026
9,7,0,0,1,0,48.281999430756464
9,8,0,0,1,6,41.87920259692377
9,9,0,0,1,2,44.903680495082995
9,10,0,0,1,5,41.68139562038751
9,11,1,0,0,7,40.156762434246936
9,12,1,0,1,0,56.49568844663963
9,13,1,0,1,4,55.62220303966481
9,14,0,0,1,4,41.304685720373314
9,15,0,0,1,7,43.76181446761692
9,16,0,0,0,2,27.642547801666996
9,17,0,0,0,2,27.986712837367392
9,18,0,0,0,1,27.573251569059096
9,19,0,0,1,4,40.4814530648453
9,20,0,0,1,2,44.5293453888777
9,21,0,1,1,6,57.33161862307451
9,22,0,1,1,5,58.14623965435531
9,23,1,1,0,3,56.93645717526485
9,24,1,1,0,1,55.96864570083554
9,25,1,1,0,4,56.17545239639124
9,26,1,1,0,7,55.82818255102131
9,27,0,1,0,1,51.988045490256184
9,28,0,1,0,5,42.21138162531756
9,29,0,1,0,3,54.26183919743673
9,30,0,1,0,2,54.43334344962594
9,31,0,1,0,5,41.2604685342754
9,32,1,1,1,7,70.05181439518755
9,33,1,0,0,7,38.302698064001255
9,34,1,0,1,2,54.6863119914142
9,35,1,0,1,2,53.62359594445367
9,36,1,0,1,2,55.53809049610417
9,37,1,0,1,4,55.00807117478967
9,38,0,0,1,2,43.261290121153415
9,39,0,1,1,3,71.56776081563899
9,40,0,0,0,5,27.27534439050127
9,41,1,0,1,5,55.317365697247084
9,42,0,0,1,5,41.806744897553656
9,43,0,0,0,6,26.221588563098393
9,44,1,0,0,7,42.00401209386331
9,45,0,1,0,7,41.56440573583502
9,46,0,1,0,6,43.10049370191322
9,47,0,1,0,4,40.49876427507348
9,48,0,1,0,3,43.783512064231154
9,49,0,0,0,5,25.685737051366836
9,50,1,0,0,5,38.35584042092751
9,51,0,0,1,0,42.721573735477236
9,52,0,0,1,6,41.32328247004649
9,53,0,0,1,7,45.13850113970046
9,54,1,1,0,3,53.967042241599785
9,55,1,0,0,3,38.38527712052879
9,56,1,1,1,0,71.88447093827965
9,57,1,1,1,6,71.14911214691584
9,58,0,0,1,7,43.4007785832984
9,59,1,0,0,5,39.0261384498147
9,0,1,0,0,5,39.40432217386287
9,1,0,0,0,4,25.206440687508234
9,2,0,0,0,2,29.2881102591668
9,3,0,0,0,7,27.015724875478238
9,4,0,1,0,3,54.07244110875992
9,5,0,0,0,0,34.288952931614226
9,6,0,0,0,3,38.683068061898275
9,7,0,1,0,2,44.05520363912453
9,8,0,1,0,2,44.261255749249045
9,9,0,1,0,1,44.51927813126477
9,10,0,1,0,4,42.326490813641556
9,11,1,1,0,6,54.36245247398291
9,12,1,0,0,7,39.704411145567526
9,13,0,0,1,1,50.46419289579141
9,14,0,0,0,2,28.110672462733135
9,15,0,0,0,6,27.198085692895372
9,16,0,0,0,4,26.187445568799056
9,17,1,0,0,3,37.68151783413459
9,18,1,1,0,7,54.81894633770803
9,19,1,1,0,7,54.396751066401755
9,20,0,0,0,4,25.154848956622132
9,21,0,0,0,1,27.759049816873713
9,22,0,0,0,1,32.57829376892645
9,23,0,0,0,7,24.228712160682335
9,24,0,0,0,3,28.380294403448893
9,25,0,0,0,5,26.516422599888948
9,26,0,0,0,5,27.938427149640816
9,27,0,0,0,0,34.44554672367849
9,28,0,0,0,0,31.042729798484913
9,29,0,0,0,0,37.32950261745324
9,30,0,0,0,0,39.26333130546028
9,31,0,0,0,1,30.56455394919751
9,32,0,0,0,3,30.801506347267754
9,33,0,1,0,0,46.4603982554608
9,34,0,1,0,1,45.59450380161065
9,35,0,1,0,6,39.472210996796306
9,36,0,1,0,6,42.74893626433422
9,37,0,0,0,0,36.11182019480773
9,38,0,0,0,5,25.909762614735147
9,39,0,0,0,7,27.26151069959849
9,40,0,0,0,4,27.249037500572722
9,41,0,0,0,0,31.204313546737886
9,42,0,0,0,0,29.094602623769426
9,44,0,1,0,1,49.46850477420221
9,45,0,1,1,5,55.10429456660389
