battery,t_bucket,arr,bp,fever,action,q
10,0,0,0,0,2,160.40599493368438
9,1,0,1,0,1,244.69956247004254
9,2,0,1,0,2,250.57326493660554
9,3,0,1,0,2,245.35024801546348
9,4,0,0,0,0,229.5438023545732
9,5,0,0,0,3,233.1547053958593
9,6,0,0,0,3,236.50375546494573
9,7,0,1,0,3,248.22691658374012
9,8,0,0,1,0,244.37642464882848
9,9,0,0,1,6,249.54540920634764
9,10,0,0,1,4,247.46225963167865
9,11,1,0,1,4,260.543745134572
9,12,0,0,1,3,247.34392337460767
9,13,0,0,0,6,237.89908882697006
9,14,0,0,0,4,234.40423723671543
9,15,1,0,0,3,247.1148272749643
9,16,1,1,0,6,270.5253785975508
9,17,0,1,0,4,247.95197262580876
9,18,0,1,0,3,251.8143550239839
9,19,0,0,0,0,231.5560931793903
9,20,0,0,0,3,237.3269715240849
9,21,0,0,0,2,228.31827061913128
9,22,0,1,0,3,250.3937644230664
9,23,0,1,1,3,258.1428448868696
9,24,0,1,0,7,252.24806501847488
9,25,0,1,1,5,261.208503556996
9,26,1,1,0,3,264.25094241435374
9,27,1,0,0,4,245.5803915999345
9,28,0,0,0,7,243.0435061649239
9,29,1,0,0,5,247.1800827990291
9,30,1,0,0,2,241.66973071501255
9,31,1,1,0,6,256.7485945834294
9,32,0,1,0,1,243.7447465838767
9,33,0,1,0,0,241.32510462169657
9,34,0,1,0,7,257.7816730457594
9,35,0,0,1,6,244.75863274239188
9,36,0,1,1,3,260.3826801302353
9,37,0,1,0,4,243.5060249308138
9,38,1,1,0,4,260.1607019218747
9,39,0,1,0,3,247.64801322065648
9,40,0,0,1,6,241.82384186047128
9,41,0,0,1,2,245.7206588665977
9,42,0,0,1,4,242.54645764996113
9,43,0,0,1,5,241.32698938779566
9,44,1,0,0,3,245.43647822248437
9,45,1,1,0,7,258.17849672336996
9,46,1,0,0,2,242.20798685025082
9,47,1,1,0,2,259.68342931209395
9,48,1,1,0,0,255.25321822786813
9,49,1,1,0,6,260.5252769015061
9,50,0,0,0,5,229.4145723718247
9,51,0,0,0,3,227.43767798082567
9,52,0,0,1,0,239.67609490481743
9,53,0,0,1,6,240.4074177315194
9,54,0,1,1,6,257.0702936091764
9,55,0,0,1,4,240.80768164048237
9,56,1,0,1,7,271.4820632739262
9,57,1,0,0,3,249.99002966196562
9,58,1,1,0,6,270.291304807738
9,59,1,1,0,0,258.8235275066477
9,0,1,1,0,3,260.08368982598455
9,1,1,1,0,4,259.1099536610765
9,3,0,0,0,4,233.0530826932475
9,4,0,0,0,3,233.83795951325587
9,5,0,0,0,6,238.52710260666896
9,6,1,0,0,7,260.74231293053754
9,7,0,1,0,7,258.8632123930362
9,8,0,1,1,4,259.97340290723974
9,9,0,1,1,5,261.68544689191873
